2026-05-06 00:00:14.351 | INFO     | Backtest   | [回测 4/5] 模拟第 2271/4821 笔交易: 英特集团...
2026-05-06 00:00:14.562 | INFO     | Backtest   | [回测 4/5] 模拟第 2281/4821 笔交易: 海正生材...
2026-05-06 00:00:14.745 | INFO     | Backtest   | [回测 4/5] 模拟第 2291/4821 笔交易: 万润科技...
2026-05-06 00:00:14.961 | INFO     | Backtest   | [回测 4/5] 模拟第 2301/4821 笔交易: 祥源文旅...
2026-05-06 00:00:15.191 | INFO     | Backtest   | [回测 4/5] 模拟第 2311/4821 笔交易: 乐通股份...
2026-05-06 00:00:15.460 | INFO     | Backtest   | [回测 4/5] 模拟第 2321/4821 笔交易: 苏豪弘业...
2026-05-06 00:00:15.666 | INFO     | Backtest   | [回测 4/5] 模拟第 2331/4821 笔交易: 大东南...
2026-05-06 00:00:15.834 | INFO     | Backtest   | [回测 4/5] 模拟第 2341/4821 笔交易: 金智科技...
2026-05-06 00:00:16.035 | INFO     | Backtest   | [回测 4/5] 模拟第 2351/4821 笔交易: 英唐智控...
2026-05-06 00:00:16.281 | INFO     | Backtest   | [回测 4/5] 模拟第 2361/4821 笔交易: 汉钟精机...
2026-05-06 00:00:16.509 | INFO     | Backtest   | [回测 4/5] 模拟第 2371/4821 笔交易: 双杰电气...
2026-05-06 00:00:16.752 | INFO     | Backtest   | [回测 4/5] 模拟第 2381/4821 笔交易: 山东威达...
2026-05-06 00:00:17.013 | INFO     | Backtest   | [回测 4/5] 模拟第 2391/4821 笔交易: 电投水电...
2026-05-06 00:00:17.299 | INFO     | Backtest   | [回测 4/5] 模拟第 2401/4821 笔交易: 申达股份...
2026-05-06 00:00:17.566 | INFO     | Backtest   | [回测 4/5] 模拟第 2411/4821 笔交易: 福星股份...
2026-05-06 00:00:17.869 | INFO     | Backtest   | [回测 4/5] 模拟第 2421/4821 笔交易: 中集车辆...
2026-05-06 00:00:18.131 | INFO     | Backtest   | [回测 4/5] 模拟第 2431/4821 笔交易: 福田汽车...
2026-05-06 00:00:18.424 | INFO     | Backtest   | [回测 4/5] 模拟第 2441/4821 笔交易: 首钢股份...
2026-05-06 00:00:18.711 | INFO     | Backtest   | [回测 4/5] 模拟第 2451/4821 笔交易: 爱普股份...
2026-05-06 00:00:18.978 | INFO     | Backtest   | [回测 4/5] 模拟第 2461/4821 笔交易: 东土科技...
2026-05-06 00:00:19.233 | INFO     | Backtest   | [回测 4/5] 模拟第 2471/4821 笔交易: 时代新材...
2026-05-06 00:00:19.447 | INFO     | Backtest   | [回测 4/5] 模拟第 2481/4821 笔交易: 蓝丰生化...
2026-05-06 00:00:19.641 | INFO     | Backtest   | [回测 4/5] 模拟第 2491/4821 笔交易: 海兰信...
2026-05-06 00:00:19.918 | INFO     | Backtest   | [回测 4/5] 模拟第 2501/4821 笔交易: 科顺股份...
2026-05-06 00:00:20.135 | INFO     | Backtest   | [回测 4/5] 模拟第 2511/4821 笔交易: 通用电梯...
2026-05-06 00:00:20.336 | INFO     | Backtest   | [回测 4/5] 模拟第 2521/4821 笔交易: 智动力...
2026-05-06 00:00:20.545 | INFO     | Backtest   | [回测 4/5] 模拟第 2531/4821 笔交易: 华英农业...
2026-05-06 00:00:20.822 | INFO     | Backtest   | [回测 4/5] 模拟第 2541/4821 笔交易: 泰坦股份...
2026-05-06 00:00:21.136 | INFO     | Backtest   | [回测 4/5] 模拟第 2551/4821 笔交易: 德龙汇能...
2026-05-06 00:00:21.363 | INFO     | Backtest   | [回测 4/5] 模拟第 2561/4821 笔交易: 星源材质...
2026-05-06 00:00:21.553 | INFO     | Backtest   | [回测 4/5] 模拟第 2571/4821 笔交易: 新致软件...
2026-05-06 00:00:21.773 | INFO     | Backtest   | [回测 4/5] 模拟第 2581/4821 笔交易: 药康生物...
2026-05-06 00:00:21.962 | INFO     | Backtest   | [回测 4/5] 模拟第 2591/4821 笔交易: 双良节能...
2026-05-06 00:00:22.182 | INFO     | Backtest   | [回测 4/5] 模拟第 2601/4821 笔交易: 卓锦股份...
2026-05-06 00:00:22.400 | INFO     | Backtest   | [回测 4/5] 模拟第 2611/4821 笔交易: 华西证券...
2026-05-06 00:00:22.584 | INFO     | Backtest   | [回测 4/5] 模拟第 2621/4821 笔交易: 瀛通通讯...
2026-05-06 00:00:22.776 | INFO     | Backtest   | [回测 4/5] 模拟第 2631/4821 笔交易: 华明装备...
2026-05-06 00:00:22.963 | INFO     | Backtest   | [回测 4/5] 模拟第 2641/4821 笔交易: 英威腾...
2026-05-06 00:00:23.190 | INFO     | Backtest   | [回测 4/5] 模拟第 2651/4821 笔交易: 苏试试验...
2026-05-06 00:00:23.348 | INFO     | Backtest   | [回测 4/5] 模拟第 2661/4821 笔交易: 真爱美家...
2026-05-06 00:00:23.535 | INFO     | Backtest   | [回测 4/5] 模拟第 2671/4821 笔交易: 索菱股份...
2026-05-06 00:00:23.776 | INFO     | Backtest   | [回测 4/5] 模拟第 2681/4821 笔交易: 光力科技...
2026-05-06 00:00:24.019 | INFO     | Backtest   | [回测 4/5] 模拟第 2691/4821 笔交易: 苏文电能...
2026-05-06 00:00:24.243 | INFO     | Backtest   | [回测 4/5] 模拟第 2701/4821 笔交易: 南矿集团...
2026-05-06 00:00:24.505 | INFO     | Backtest   | [回测 4/5] 模拟第 2711/4821 笔交易: 华茂股份...
2026-05-06 00:00:24.761 | INFO     | Backtest   | [回测 4/5] 模拟第 2721/4821 笔交易: 中国海诚...
2026-05-06 00:00:25.038 | INFO     | Backtest   | [回测 4/5] 模拟第 2731/4821 笔交易: 洁特生物...
2026-05-06 00:00:25.305 | INFO     | Backtest   | [回测 4/5] 模拟第 2741/4821 笔交易: 元琛科技...
2026-05-06 00:00:25.566 | INFO     | Backtest   | [回测 4/5] 模拟第 2751/4821 笔交易: 开尔新材...
2026-05-06 00:00:25.837 | INFO     | Backtest   | [回测 4/5] 模拟第 2761/4821 笔交易: 晋亿实业...
2026-05-06 00:00:26.081 | INFO     | Backtest   | [回测 4/5] 模拟第 2771/4821 笔交易: 深粮控股...
2026-05-06 00:00:26.277 | INFO     | Backtest   | [回测 4/5] 模拟第 2781/4821 笔交易: 哈投股份...
2026-05-06 00:00:26.497 | INFO     | Backtest   | [回测 4/5] 模拟第 2791/4821 笔交易: 志特新材...
2026-05-06 00:00:26.713 | INFO     | Backtest   | [回测 4/5] 模拟第 2801/4821 笔交易: 冀中能源...
2026-05-06 00:00:26.971 | INFO     | Backtest   | [回测 4/5] 模拟第 2811/4821 笔交易: 广州发展...
2026-05-06 00:00:27.290 | INFO     | Backtest   | [回测 4/5] 模拟第 2821/4821 笔交易: 南钢股份...
2026-05-06 00:00:27.502 | INFO     | Backtest   | [回测 4/5] 模拟第 2831/4821 笔交易: 凯中精密...
2026-05-06 00:00:27.728 | INFO     | Backtest   | [回测 4/5] 模拟第 2841/4821 笔交易: 新美星...
2026-05-06 00:00:27.927 | INFO     | Backtest   | [回测 4/5] 模拟第 2851/4821 笔交易: 国旅联合...
2026-05-06 00:00:28.131 | INFO     | Backtest   | [回测 4/5] 模拟第 2861/4821 笔交易: 冠中生态...
2026-05-06 00:00:28.356 | INFO     | Backtest   | [回测 4/5] 模拟第 2871/4821 笔交易: 赣粤高速...
2026-05-06 00:00:28.560 | INFO     | Backtest   | [回测 4/5] 模拟第 2881/4821 笔交易: 陕西黑猫...
2026-05-06 00:00:28.760 | INFO     | Backtest   | [回测 4/5] 模拟第 2891/4821 笔交易: 西高院...
2026-05-06 00:00:28.994 | INFO     | Backtest   | [回测 4/5] 模拟第 2901/4821 笔交易: 国晟科技...
2026-05-06 00:00:29.215 | INFO     | Backtest   | [回测 4/5] 模拟第 2911/4821 笔交易: 南方航空...
2026-05-06 00:00:29.507 | INFO     | Backtest   | [回测 4/5] 模拟第 2921/4821 笔交易: 中国东航...
2026-05-06 00:00:30.216 | INFO     | Backtest   | [回测 4/5] 模拟第 2931/4821 笔交易: 新宁物流...
2026-05-06 00:00:30.624 | INFO     | Backtest   | [回测 4/5] 模拟第 2941/4821 笔交易: 山西高速...
2026-05-06 00:00:30.920 | INFO     | Backtest   | [回测 4/5] 模拟第 2951/4821 笔交易: 国脉科技...
2026-05-06 00:00:31.294 | INFO     | Backtest   | [回测 4/5] 模拟第 2961/4821 笔交易: 惠云钛业...
2026-05-06 00:00:31.705 | INFO     | Backtest   | [回测 4/5] 模拟第 2971/4821 笔交易: 新相微...
2026-05-06 00:00:32.111 | INFO     | Backtest   | [回测 4/5] 模拟第 2981/4821 笔交易: 东方电气...
2026-05-06 00:00:32.431 | INFO     | Backtest   | [回测 4/5] 模拟第 2991/4821 笔交易: 上海电气...
2026-05-06 00:00:32.730 | INFO     | Backtest   | [回测 4/5] 模拟第 3001/4821 笔交易: 爱柯迪...
2026-05-06 00:00:33.072 | INFO     | Backtest   | [回测 4/5] 模拟第 3011/4821 笔交易: 康鹏科技...
2026-05-06 00:00:33.378 | INFO     | Backtest   | [回测 4/5] 模拟第 3021/4821 笔交易: 信科移动-U...
2026-05-06 00:00:33.704 | INFO     | Backtest   | [回测 4/5] 模拟第 3031/4821 笔交易: 古鳌科技...
2026-05-06 00:00:34.123 | INFO     | Backtest   | [回测 4/5] 模拟第 3041/4821 笔交易: 老白干酒...
