2026-05-17 00:00:52.576 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20250917...
2026-05-17 00:00:53.383 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20250916...
2026-05-17 00:00:54.212 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20250915...
2026-05-17 00:00:54.988 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20250912...
2026-05-17 00:00:55.814 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20250911...
2026-05-17 00:00:56.604 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20250910...
2026-05-17 00:00:57.435 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20250909...
2026-05-17 00:00:58.218 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20250908...
2026-05-17 00:01:00.752 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20250905...
2026-05-17 00:01:01.547 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20250904...
2026-05-17 00:01:02.364 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20250903...
2026-05-17 00:01:03.145 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20250902...
2026-05-17 00:01:03.977 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20250901...
2026-05-17 00:01:04.727 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20250829...
2026-05-17 00:01:05.513 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20250828...
2026-05-17 00:01:06.317 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20250827...
2026-05-17 00:01:07.180 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20250826...
2026-05-17 00:01:07.981 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20250825...
2026-05-17 00:01:08.786 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20250822...
2026-05-17 00:01:09.568 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20250821...
2026-05-17 00:01:10.417 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20250820...
2026-05-17 00:01:11.229 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20250819...
2026-05-17 00:01:12.019 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20250818...
2026-05-17 00:01:12.782 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20250815...
2026-05-17 00:01:13.556 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20250814...
2026-05-17 00:01:14.356 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20250813...
2026-05-17 00:01:15.112 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20250812...
2026-05-17 00:01:15.942 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20250811...
2026-05-17 00:01:16.780 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20250808...
2026-05-17 00:01:17.652 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20250807...
2026-05-17 00:01:18.461 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20250806...
2026-05-17 00:01:19.304 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20250805...
2026-05-17 00:01:20.105 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20250804...
2026-05-17 00:01:20.925 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20250801...
2026-05-17 00:01:21.719 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20250731...
2026-05-17 00:01:22.501 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20250730...
2026-05-17 00:01:23.325 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20250729...
2026-05-17 00:01:24.158 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20250728...
2026-05-17 00:01:24.967 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20250725...
2026-05-17 00:01:25.781 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20250724...
2026-05-17 00:01:26.612 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20250723...
2026-05-17 00:01:27.420 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20250722...
2026-05-17 00:01:28.202 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20250721...
2026-05-17 00:01:28.960 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20250718...
2026-05-17 00:01:29.721 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20250717...
2026-05-17 00:01:30.483 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20250716...
2026-05-17 00:01:31.249 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20250715...
2026-05-17 00:01:32.012 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20250714...
2026-05-17 00:01:32.763 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20250711...
2026-05-17 00:01:33.552 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20250710...
2026-05-17 00:01:36.476 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20250709...
2026-05-17 00:01:37.287 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20250708...
2026-05-17 00:01:38.081 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20250707...
2026-05-17 00:01:38.839 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20250704...
2026-05-17 00:01:39.609 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20250703...
2026-05-17 00:01:40.405 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20250702...
2026-05-17 00:01:41.178 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20250701...
2026-05-17 00:01:41.960 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20250630...
